id,name_short,name,typ,geschlecht,partei,regierungvor,regierungnach,power,bundesland
AA,AA,Artur Auernhammer,1,1,1,1,2,2,9
AB,AB,Annalena Baerbock,1,2,3,2,1,1,12
ABG,ABG,Agnieszka Brugger,1,2,3,2,1,2,8
ABL,ABL,Andreas Bleck,1,1,6,2,2,2,7
AD,AD,Alexander Dobrindt,1,1,1,1,2,2,9
ADA,ADA,Astrid Damerow,1,2,1,1,2,2,1
ADB,ADB,Anke Domscheit-Berg,1,2,5,2,2,2,12
AFD,AFD,Alternative für Deutschland,2,99,6,2,2,99,99
AG,AG,Alexander Gauland,1,1,6,2,2,2,12
AGE,AGE,Axel Gehrke,1,1,6,2,2,2,1
AGL,AGL,Alexander Graf Lambsdorff,1,1,4,2,1,2,5
AGR,AGR,Astrid Grotelüschen,1,2,1,1,2,2,3
AGU,AGU,Ates Gürpinar,1,1,5,2,2,2,9
AH,AH,Anton Hofreiter,1,1,3,2,1,2,9
AHA,AHA,Andre Hahn,1,1,5,2,2,2,14
AK,AK,Alexander Krauß,1,1,1,1,2,2,14
AKK,AKK,Annegret Kramp-Karrenbauer,1,2,1,1,2,1,10
AKU,AKU,Alexander Kulitz,1,1,4,2,1,2,8
AL,AL,Armin Laschet,1,1,1,1,2,1,5
ALAE,ALAE,Andreas G. Lämmel,1,1,1,1,2,2,14
ALE,ALE,Andreas Lenz,1,1,1,1,2,2,9
ALG,ALG,Albrecht Glaser,1,1,6,2,2,2,6
ALI,ALI,Andrea Lindholz,1,2,1,1,2,2,9
ALR,ALR,Albert Rupprecht,1,1,1,1,2,2,9
AM,AM,Angela Merkel,1,2,1,1,2,1,13
AMA,AMA,Amira Mohamed Ali,1,2,5,2,2,2,3
AMR,AMR,Andreas Mrosek,1,1,6,2,2,2,15
AMS,AMS,Astrid Mannes,1,2,1,1,2,2,6
ANCH,ANCH,Anna Christmann,1,2,3,2,1,2,8
ANHA,ANHA,Anja Hajduk,1,2,3,2,1,2,2
ANKA,ANKA,Anja Karliczek,1,2,1,1,2,2,5
ANLE,ANLE,Antje Lezius,1,2,1,1,2,2,8
ANST,ANST,Andreas Steier,1,1,1,1,2,2,7
AOE,AOE,Aydan Özoğuz,1,2,2,1,1,2,2
APH,APH,Armin-Paulus Hampel,1,1,6,2,2,2,3
AR,AR,Andreas Rimkus,1,1,2,1,1,2,5
AT,AT,Antje Tillmann,1,2,1,1,2,2,16
ATH,ATH,Alexander Throm,1,1,1,1,2,2,8
AU,AU,Andrew Ullmann,1,1,4,2,1,2,9
AUL,AUL,Alexander Ulrich,1,1,5,2,2,2,7
AVJ,AVJ,Ann Veruschka Jurisch,1,2,4,2,1,2,8
AW,AW,Alice Weidel,1,2,6,2,2,2,8
AWA,AWA,Andreas Wagner,1,1,5,2,2,2,9
AWG,AWG,Anja Weisgerber,1,2,1,1,2,2,9
AXKN,AXKN,Axel Knoerig,1,1,1,1,2,2,3
AXM,AXM,Axel Müller,1,1,1,1,2,2,8
BB,BB,Bernd Baumann,1,1,6,2,2,2,2
BBA,BBA,Bärbel Bas,1,2,2,1,1,2,5
BBB,BBB,Birke Bull-Bischoff,1,2,5,2,2,2,15
BD,BD,Bernhard Daldrup,1,1,2,1,1,2,5
BDS,BDS,Bijan Djir-Sarai,1,1,4,2,1,2,5
BEFA,BEFA,Bernd Fabritius,1,1,1,1,2,2,9
BEVG,BEVG,Berengar Elsner von Gronow,1,1,6,2,2,2,5
BH,BH,Britta Haßelmann,1,2,3,2,1,2,5
BHE,BHE,Barbara Hendricks,1,2,2,1,1,2,5
BL,BL,Bernhard Loos,1,1,1,1,2,2,9
BS,BS,Benjamin Strasser,1,1,4,2,1,2,8
BSW,BSW,Bettina Stark-Watzinger,1,2,4,2,1,2,6
BVS,BVS,Beatrix von Storch,1,2,6,2,2,1,11
BW,BW,Bernd Westphal,1,1,2,1,1,2,3
BWR,BWR,Beate Walter-Rosenheimer,1,2,3,2,1,2,9
CAD,CAD,Christine Aschenberg-Dugnus,1,2,4,2,1,2,1
CALAY,CALAY,Caren Lay,1,2,5,2,2,2,14
CB,CB,Canan Bayram,1,2,3,2,1,2,11
CD,CD,Christian Dürr,1,1,4,2,1,2,3
CDU,CDU,Christlich Demokratische Union Deutschlands,2,99,1,1,2,99,99
CG,CG,Christian Görke,1,1,5,2,2,2,12
CHBA,CHBA,Christina Baum,1,2,6,2,2,2,8
CHBE,CHBE,Christoph Bernstiel,1,1,1,1,2,2,15
CHFR,CHFR,Christian Freiherr von Stetten,1,1,1,1,2,2,8
CHH,CHH,Christian Haase,1,1,1,1,2,2,5
CHMA,CHMA,Christoph Matschie,1,1,2,1,1,2,16
CHS,CHS,Christian Schmidt,1,1,1,1,2,2,9
CK,CK,Cansel Kiziltepe,1,1,2,1,1,2,9
CKU,CKU,Christian Kühn,1,1,3,2,1,2,8
CL,CL,Christian Lindner,1,1,4,2,1,1,5
CLMO,CLMO,Claudia Moll,1,2,2,1,1,2,5
CM,CM,Claudia Müller,1,2,3,2,1,2,13
COR,COR,Corinna Rüffer,1,2,3,2,1,2,7
CP,CP,Christian Petry,1,1,2,1,1,2,10
CPL,CPL,Christoph Ploß,1,1,1,1,2,2,2
CR,CR,Claudia Roth,1,2,3,2,1,2,9
CS,CS,Carsten Schneider,1,1,2,1,1,2,16
CSC,CSC,Claudia Schmidtke,1,2,1,1,2,2,1
CT,CT,Carsten Träger,1,1,2,1,1,2,9
DA,DA,Doris Achelwilm,1,2,5,2,2,2,4
DAKO,DAKO,Daniela Kolbe,1,2,4,2,1,2,3
DAWAG,DAWAG,Daniela Wagner,1,2,3,2,1,2,6
DB,DB,Dietmar Bartsch,1,1,5,2,2,2,13
DCL,DCL,Dr. Carsten Linnemann,1,1,1,1,2,2,5
DD,DD,Diether Dehm,1,1,5,2,2,2,3
DDR,DDR,Daniela De Ridder,1,2,2,1,1,2,3
DF,DF,Daniel Föst,1,1,4,2,1,2,9
DIJA,DIJA,Dieter Janecek,1,1,3,2,1,2,9
DM,DM,Detlef Müller,1,1,2,1,1,2,14
DMH,DMH,Dr. Matthias Heider,1,1,1,1,2,2,5
DMK,DMK,Dr. Marcel Klinge,1,1,4,2,1,2,8
DMO,DMO,Dietrich Monstadt,1,1,1,1,2,2,13
DOBR,DOBR,Dorothee Bär,1,2,1,1,2,2,9
DS,DS,Detlef Seif,1,1,1,1,2,2,5
DSB,DSB,Detlev Spangenberg,1,1,6,2,2,2,14
DW,DW,Dirk Wiese,1,1,2,1,1,2,5
ECGN,ECGN,Eckhard Gnodtke,1,1,1,1,2,2,15
ECPO,ECPO,Eckhard Pols,1,1,1,1,2,2,3
ED,ED,Ekin Deligöz,1,1,3,2,1,2,9
EFR,EFR,Edgar Franke,1,1,2,1,1,2,6
EK,EK,Enrico Komning,1,1,6,2,2,2,13
EKA,EKA,Elisabeth Kaiser,1,2,2,1,1,2,16
ELKO,ELKO,Elvan Korkmaz-Emre,1,2,2,1,1,2,5
ELMO,ELMO,Elisabeth Motschmann,1,2,1,1,2,2,4
ERGR,ERGR,Erhard Grundl,1,1,3,2,1,2,9
ERIR,ERIR,Erich Irlstorfer,1,1,1,1,2,2,9
FADE,FADE,Fabio de Masi,1,1,5,2,2,2,2
FB,FB,Franziska Brantner,1,2,3,2,1,2,8
FDP,FDP,Frei Demokratische Partei,2,99,4,2,1,99,99
FFT,FFT,Dr. Fritz Felgentreu ,1,1,2,1,1,2,11
FG,FG,Franziska Gminder,1,2,6,2,2,2,8
FGU,FGU,Fritz Güntzler,1,1,1,1,2,2,3
FJ,FJ,Fabian Jacobi,1,1,6,2,2,2,5
FLTO,FLTO,Florian Toncar,1,1,4,2,1,2,8
FMR,FMR,Frank Müller-Rosentritt,1,1,4,2,1,2,14
FP,FP,Frauke Petry,1,2,7,2,2,99,14
FPO,FPO,Filiz Polat,1,2,3,2,1,2,3
FRFE,FRFE,Fritz Felgentreu,1,1,2,1,1,2,4
FRSC,FRSC,Frank Schäffler,1,1,4,2,1,2,5
FS,FS,Frank Steffel,1,1,1,1,2,2,11
FSC,FSC,Frank Schwabe,1,1,2,1,1,2,5
FSI,FSI,Frank Sitta,1,1,4,2,1,2,15
FST,FST,Friedrich Straetmanns,1,2,5,2,2,2,5
GA,GA,Gökay Akbulut,1,1,5,2,2,2,8
GC,GC,Gottfried Curio,1,1,6,2,2,2,11
GCH,GCH,Gero Clemens Hocker,1,1,4,2,1,2,3
GF,GF,Götz Frömming,1,1,6,2,2,2,11
GH,GH,Gabriela Heinrich,1,1,2,1,1,2,9
GHU,GHU,Gerrit Huy,1,1,6,2,2,2,9
GICO,GICO,Gitta Connemann,1,2,1,1,2,2,3
GIMA,GIMA,Gisela Manderla,1,2,1,1,2,2,5
GK,GK,Gunther Krichbaum,1,1,1,1,2,2,8
GKA,GKA,Gabriele Katzmarek,1,2,2,1,1,2,8
GL,GL,Gesine Lötzsch,1,2,5,2,2,2,11
GO,GO,Gerold Otten,1,1,6,2,2,2,9
GRUENE,GRUENE,Bündnis 90/ Die Grünen,2,99,3,2,1,99,99
GYJE,GYJE,Gyde Jensen,1,2,4,2,1,2,1
HAMI,HAMI,Hans Michelbach,1,1,1,1,2,2,9
HARE,HARE,Hagen Reinhold,1,1,4,2,1,2,13
HB,HB,Heike Baehrens,1,2,2,1,1,2,8
HE,HE,Harald Ebner,1,1,3,2,1,2,8
HEEV,HEEV,Helin Evrim Sommer,1,2,5,2,2,2,11
HH,HH,Heike Hänsel,1,2,5,2,2,2,8
HHI,HHI,Heribert Hirte,1,1,1,1,2,2,5
HL,HL,Helge Lindh,1,1,2,1,1,2,5
HM,HM,Heiko Maas,1,1,2,1,1,2,10
HO,HO,Henning Otte,1,1,1,1,2,2,3
HOS,HOS,Dr. Hermann Otto Solms,1,1,4,2,1,2,6
HR,HR,Henning Rehbaum,1,1,1,1,2,2,5
HRE,HRE,Heidi Reichinnek,1,2,5,2,2,2,3
HUHE,HUHE,Hubertus Heil,1,1,2,1,1,1,3
HW,HW,Harald Weyel,1,1,6,2,2,2,5
HWE,HWE,Harald Weinberg,1,1,5,2,2,2,9
IMI,IMI,Dr. Irene Mihalic,1,2,3,2,1,1,5
INE,INE,Ingrid Nestle,1,2,3,2,1,2,1
JB,JB,Jens Brandenburg,1,1,4,2,1,2,8
JD,JD,Janosch Dahmen,1,1,3,2,1,2,5
JDW,JDW,Johann David Wadephul,1,1,1,1,2,2,1
JEM,JEM,Jens Maier,1,1,6,2,2,2,14
JETAT,JETAT,Jessica Tatti,1,2,5,2,2,2,8
JEZI,JEZI,Jens Zimmermann,1,1,2,1,1,2,6
JF,JF,Johannes Fechner,1,1,2,1,1,2,8
JH,JH,Jürgen Hardt,1,1,1,1,2,2,5
JJ,JJ,Josip Juratovic,1,1,2,1,1,2,8
JK,JK,Jan Korte,1,1,5,2,2,2,15
JKL,JKL,Julia Klöckner,1,2,1,1,2,1,7
JKO,JKO,Jörn König,1,1,6,2,2,2,3
JM,JM,Jan Metzler,1,1,4,2,1,2,7
JMA,JMA,Jürgen Martens,1,1,4,2,1,2,14
JML,JML,Jan-Marco Luczak,1,1,1,1,2,2,11
JOCE,JOCE,Jörg Cezanne,1,1,5,2,2,2,6
JOCO,JOCO,Joana Cotar,1,2,6,2,2,2,6
JOORT,JOORT,Josephine Ortleb,1,2,2,1,1,2,10
JOOS,JOOS,Josef Oster,1,1,1,1,2,2,7
JOVO,JOVO,Johannes Vogel,1,1,4,2,1,2,5
JP,JP,Julian Pahlke,1,1,3,2,1,2,3
JR,JR,Jessica Rosenthal,1,2,2,1,1,2,5
JS,JS,Jens Spahn,1,1,1,1,2,2,5
JSC,JSC,Jörg Schneider,1,1,6,2,2,2,5
JSCH,JSCH,Johannes Schraps,1,1,2,1,1,2,3
JSH,JSH,Johann Saathoff,1,1,2,1,1,2,3
JSK,JSK,Judith Skudelny,1,2,4,2,1,2,8
JST,JST,Joachim Stamp,1,1,4,2,1,2,5
JT,JT,Jürgen Trittin,1,1,3,2,1,2,3
JUBR,JUBR,Jürgen Braun,1,1,6,2,2,2,8
JUKR,JUKR,Jutta Krellmann,1,2,5,2,2,2,3
JV,JV,Julia Verlinden,1,2,3,2,1,2,3
JW,JW,Joe Weingarten,1,1,2,1,1,2,7
JWI,JWI,Janine Wißler,1,2,5,2,2,1,6
KADIA,KADIA,Karamba Diaby,1,2,2,1,1,2,15
KAGE,KAGE,Kai Gehring,1,1,3,2,1,2,5
KAL,KAL,Karl A. Lamers,1,1,1,1,2,2,8
KALA,KALA,Katharina Landgraf,1,2,1,1,2,2,14
KAMA,KAMA,Karin Maag,1,2,1,1,2,2,8
KAMOE,KAMOE,Karsten Möring,1,1,1,1,2,2,5
KASU,KASU,Katja Suding,1,2,4,2,1,2,2
KATMA,KATMA,Katja Mast,1,2,2,1,1,2,8
KAWA,KAWA,Kai Wegner,1,1,1,1,2,2,11
KD,KD,Katharina Dröge,1,2,3,2,1,2,5
KDG,KDG,Klaus-Dieter Gröhler,1,1,1,1,2,1,11
KE,KE,Klaus Ernst,1,1,5,2,2,2,9
KG,KG,Kay Gottschalk,1,1,6,2,2,2,5
KGE,KGE,Katrin Göring-Eckardt,1,2,3,2,1,2,16
KH,KH,Katja Hessel,1,2,4,2,1,2,9
KHI,KHI,Karsten Hilse,1,1,6,2,2,2,14
KHP,KHP,Katrin Helling-Plahr,1,2,4,2,1,2,5
KILUE,KILUE,Kirsten Lühmann,1,2,2,1,1,2,3
KK,KK,Kevin Kühnert,1,1,2,1,1,2,11
KKE,KKE,Katja Keul,1,2,3,2,1,2,3
KKG,KKG,Kirsten Kappert-Gonther,1,2,3,2,1,2,4
KKL,KKL,Karsten Klein,1,1,4,2,1,2,9
KKU,KKU,Konstantin Kuhle,1,1,4,2,1,2,3
KL,KL,Karl Lauterbach,1,1,2,1,1,2,5
KLE,KLE,Katja Leikert,1,2,1,1,2,2,6
KM,KM,Klaus Mindrup,1,1,2,1,1,2,11
KOAS,KOAS,Kordula Schulz-Asche,1,2,3,2,1,2,6
KPS,KPS,Klaus-Peter Schulze,1,1,1,1,2,2,12
KPW,KPW,Klaus Peter-Wilsch,1,1,1,1,2,2,6
KS,KS,Klaus Stöber,1,1,6,2,2,1,16
KST,KST,Katrin Staffler,1,2,1,1,2,2,9
KT,KT,Kirsten Tackmann,1,2,5,2,2,2,12
KUZ,KUZ,Kay-Uwe Ziegler,1,1,6,2,2,2,15
KV,KV,Kathrin Vogler,1,2,5,2,2,2,5
KVN,KVN,Dr. Konstantin von Notz,1,1,3,2,1,1,1
KW,KW,Kai Whittaker,1,1,1,1,2,2,8
LAM,LAM,Luise Amtsberg,1,2,3,2,1,2,1
LB,LB,Lisa Badum,1,2,3,2,1,2,9
LBR,LBR,Leni Breymaier,1,2,2,1,1,2,8
LC,LC,Lars Castellucci,1,1,2,1,1,2,8
LEER,LEER,Leif-Erik Holm,1,1,6,2,2,2,13
LGB,LGB,Lorenz Gösta Beutin,1,1,5,2,2,2,1
LINKE,LINKE,Die Linke,2,99,5,2,2,99,99
LITE,LITE,Linda Teuteberg,1,2,4,2,1,2,12
LK,LK,Lukas Köhler,1,1,4,2,1,2,9
LOBI,LOBI,Lothar Binding,1,1,2,1,1,2,8
LOMA,LOMA,Lothar Maier,1,1,6,2,2,2,8
LP,LP,Lisa Paus,1,2,3,2,1,2,11
MABA,MABA,Margarete Bause,1,2,3,2,1,2,9
MABR,MABR,Mario Brandenburg,1,1,4,2,1,2,7
MAHA,MAHA,Matthias Hauer,1,1,1,1,2,2,5
MAHE,MAHE,Martin Hess,1,1,6,2,2,2,8
MAHO,MAHO,Manuel Höferlin,1,1,4,2,1,2,7
MAJO,MAJO,Marc Jongen,1,1,6,2,2,2,8
MAPA,MAPA,Martin Patzelt,1,1,1,1,2,2,12
MAR,MAR,Martine Renner,1,2,5,2,2,2,16
MARA,MARA,Martin Rabanus,1,1,2,1,1,2,6
MARO,MARO,Martin Rosemann,1,1,2,1,1,2,8
MAS,MAS,Martin Schulz,1,1,2,1,1,2,5
MASZ,MASZ,Marie-Agnes Strack-Zimmermann,1,2,4,2,1,2,5
MAWE,MAWE,Marian Wendt,1,1,1,1,2,2,14
MAZI,MAZI,Matthias Zimmer,1,1,1,1,2,2,6
MB,MB,Marco Bülow,1,1,7,99,99,99,5
MBE,MBE,Marc Bernhard,1,1,6,2,2,2,8
MBU,MBU,Marco Buschmann,1,1,4,2,1,2,5
MD,MD,Malu Dreyer,1,2,2,1,1,2,7
MF,MF,Markus Frohnmeier,1,1,6,2,2,2,8
MG,MG,Manfred Grund,1,1,1,1,2,2,16
MGB,MGB,Michael Grosse-Brömer,1,1,1,1,2,2,9
MGR,MGR,Markus Grübel,1,1,1,1,2,2,8
MH,MH,Mechthild Heil,1,2,1,1,2,2,7
MHE,MHE,Matthias Helferich,1,1,6,2,2,2,5
MHEL,MHEL,Mark Helfrich,1,1,1,1,2,2,1
MHO,MHO,Martin Hohmann,1,1,6,2,2,2,6
MIBR,MIBR,Michael Brand,1,1,1,1,2,2,6
MIDO,MIDO,Michael Donth,1,1,1,1,2,2,8
MIES,MIES,Michael Espendiller,1,1,6,2,2,2,5
MIFR,MIFR,Michael Frieser,1,1,1,1,2,2,9
MIG,MIG,Michael Gerdes,1,1,2,1,1,2,5
MISC,MISC,Michael Schrodi,1,1,2,1,1,2,9
MITH,MITH,Michael Theurer,1,1,4,2,1,2,8
MKS,MKS,Maria Klein-Schmeink,1,2,3,2,1,2,5
ML,ML,Max Lucks,1,1,3,2,1,2,5
MLA,MLA,Monika Lazar,1,2,3,2,1,2,14
MLV,MLV,Marja-Liisa Völlers,1,2,2,1,1,2,3
MM,MM,Mario Mieruch,1,1,7,2,2,2,5
MMI,MMI,Mathias Middelberg,1,1,1,1,2,2,3
MOE,MOE,Mahmut Özdemir,1,1,2,1,1,2,5
MR,MR,Manuela Rottmann,1,2,3,2,1,2,9
MRA,MRA,Mechthild Rawert,1,2,2,1,1,2,11
MRE,MRE,Martin Reichardt,1,1,6,2,2,2,15
MS,MS,Martin Sichert,1,1,6,2,2,2,9
MSC,MSC,Marianne Schieder,1,2,2,1,1,2,9
MSF,MSF,Martina Stamm-Fibich,1,2,2,1,1,2,9
MTH,MTH,Manfred Todtenhausen,1,1,4,2,1,2,5
MVM,MVM,Matern von Marschall,1,1,1,1,2,2,8
MW,MW,Maja Wallstein,1,2,2,1,1,2,12
MWB,MWB,Matthias W Birkwald,1,1,5,2,2,1,5
NASC,NASC,Nadine Schön,1,2,1,1,2,2,10
NIGO,NIGO,Nicole Gohlke,1,2,5,2,2,2,9
NIHO,NIHO,Nicole Höchst,1,2,6,2,2,2,7
NIMO,NIMO,Niema Movassat,1,1,5,2,2,2,5
NIWE,NIWE,Nicole Westig,1,2,4,2,1,2,5
NK,NK,Norbert Kleinwächter,1,1,6,2,2,2,12
NOBA,NOBA,Norbert Barthle,1,1,1,1,2,2,8
NOPARTY,NOPARTY,Fraktionslose Abgeordnete ,2,99,99,99,99,99,99
NR,NR,Norbert Röttgen,1,1,1,1,2,2,5
NS,NS,Nina Scheer,1,2,2,1,1,2,1
NSCH,NSCH,Nils Schmid,1,1,2,1,1,2,8
NW,NW,Nina Warken,1,2,1,1,2,2,8
OF,OF,Otto Fricke,1,1,4,2,1,2,5
OK,OK,Oliver Krischer,1,1,3,2,1,2,5
OLGU,OLGU,Olav Gutting,1,1,1,1,2,2,8
OLKA,OLKA,Oliver Kaczmarek,1,1,2,1,1,2,5
OLLU,OLLU,Oliver Luksic,1,1,4,2,1,2,10
ON,ON,Omid Nouripour,1,1,3,2,1,2,6
ONI,ONI,Ophelia Nick,1,2,3,2,1,2,5
OS,OS,Olaf Scholz,1,1,2,1,1,2,12
OTHO,OTHO,Ottmar von Holtz,1,1,3,2,1,2,3
PA,PA,Peter Aumer,1,1,1,1,2,2,9
PAKO,PAKO,Pascal Kober,1,1,4,2,1,2,8
PAM,PAM,Philipp Amthor,1,1,1,1,2,2,13
PASC,PASC,Patrick Schnieder,1,1,1,1,2,2,7
PB,PB,Peter Boehringer,1,1,6,2,2,2,9
PBY,PBY,Petr Bystron,1,1,6,2,2,2,9
PEBE,PEBE,Peter Beyer,1,1,1,1,2,2,5
PEWE,PEWE,Peter Weiß,1,1,2,1,1,2,14
PH,PH,Peter Heidt,1,1,4,2,1,2,6
PM,PM,Pascal Meiser,1,1,5,2,2,2,11
PP,PP,Petra Pau,1,2,5,2,2,2,11
PS,PS,Petra Sitte,1,2,5,2,2,2,15
PSE,PSE,Patrick Sensburg,1,1,1,1,2,2,5
RB,RB,Reinhard Brandl,1,1,1,1,2,2,9
RBH,RBH,Ralph Brinkhaus,1,1,1,1,2,2,5
RBO,RBO,Rene Bochmann,1,1,6,2,2,2,14
REK,REK,Renate Künast,1,2,3,2,1,2,11
RH,RH,Rudolf Henke,1,1,1,1,2,2,5
RHA,RHA,Robert Habeck,1,1,3,2,1,2,1
RHO,RHO,Reinhard Houben,1,1,4,2,1,2,5
RJR,RJR,Roman Johannes Reusch,1,1,6,2,2,2,12
RK,RK,Rainer Kraft,1,1,6,2,2,2,9
RL,RL,Rüdiger Lucassen,1,2,6,2,2,2,5
RLE,RLE,Ralph Lenkert,1,1,5,2,2,2,16
RM,RM,Rolf Mützenich,1,1,2,1,1,2,5
ROKU,ROKU,Roy Kühne,1,1,1,1,2,2,3
RR,RR,Rene Röspel,1,1,2,1,1,2,5
RSE,RSE,Reinhold Sendker,1,1,1,1,2,2,5
SAL,SAL,Stephan Albani,1,1,1,1,2,2,3
SAZI,SAZI,Sabine Zimmermann,1,2,5,2,2,2,14
SB,SB,Stephan Brandner,1,1,6,2,2,2,16
SBL,SBL,Sandra Bubendorfer-Licht,1,2,4,2,1,2,9
SBO,SBO,Simone Borchardt,1,2,1,1,2,2,13
SBR,SBR,Sebastian Brehm,1,1,1,1,2,2,9
SD,SD,Sabine Dittmar,1,2,2,1,1,2,9
SE,SE,Saskia Esken,1,2,2,1,1,2,8
SEMU,SEMU,Sepp Müller,1,1,1,1,2,2,15
SF,SF,Susanne Ferschl,1,2,5,2,2,2,9
SH,SH,Sebastian Hartmann,1,1,2,1,1,2,5
SIBA,SIBA,Simone Barrientos,1,2,5,2,2,2,9
SIBR,SIBR,Silvia Breher,1,1,1,1,2,2,3
SK,SK,Steffen Kotre,1,1,6,2,2,2,12
SKE,SKE,Stefan Keuter,1,1,6,2,2,2,5
SL,SL,Steffi Lemke,1,2,3,2,1,2,15
SLA,SLA,Silke Launert,1,2,1,1,2,2,9
SLE,SLE,Sabine Leidig,1,2,5,2,2,2,6
SM,SM,Siemtje Möller,1,2,2,1,1,2,3
SMU,SMU,Stefan Müller,1,1,1,1,2,2,9
SMUE,SMUE,Sebastian Münzenmaier,1,1,6,2,2,2,7
SOAM,SOAM,Sonja Amalie Steffen,1,2,2,1,1,2,13
SP,SP,Stephan Pilsinger,1,1,1,1,2,2,9
SPD,SPD,Sozialdemokratische Partei Deutschlands,2,99,2,1,1,99,99
SPR,SPR,Stephan Protschka,1,1,6,2,2,2,9
SR,SR,Sarah Ryglewski,1,2,2,1,1,2,4
SS,SS,Stefan Schmidt,1,1,3,2,1,2,9
SSC,SSC,Svenja Schulze,1,2,2,1,1,1,5
SST,SST,Stephan Stracke,1,1,1,1,2,2,9
ST,ST,Stephan Thomae,1,1,4,2,1,2,9
STGE,STGE,Stefan Gelbhaar,1,1,3,2,1,2,11
STKA,STKA,Stefan Kaufmann,1,1,1,1,2,2,8
STLI,STLI,Stefan Liebich,1,1,5,2,2,2,11
SUMI,SUMI,Susanne Mittag,1,2,2,1,1,2,3
SUR,SUR,Susann Rüthrich,1,2,2,1,1,2,14
SYBE,SYBE,Sybille Benning,1,2,1,1,2,2,7
SYKO,SYKO,Sylvia Kotting-Uhl,1,2,3,2,1,2,8
TARN,TARN,Tabea Rößner,1,2,3,2,1,2,7
TASC,TASC,Tankred Schipanski,1,1,1,1,2,2,16
TC,TC,Tino Chrupalla,1,1,6,2,2,1,14
TE,TE,Thomas Ehrhorn,1,1,6,2,2,2,3
TER,TER,Thomas Erndl,1,1,1,1,2,2,8
TF,TF,Thorsten Frei,1,1,1,1,2,2,8
TG,TG,Timon Gremmels,1,1,2,1,1,2,6
TH,TH,Thomas Hitschler,1,1,2,1,1,2,7
THHA,THHA,Thomas Hacker,1,1,4,2,1,2,9
THSE,THSE,Thomas Seitz,1,1,6,2,2,2,8
TL,TL,Thomas Lutze,1,1,5,2,2,2,10
TLI,TLI,Tobias Lindner,1,1,3,2,1,2,7
TM,TM,Till Mansmann,1,1,4,2,1,2,6
TMP,TMP,Tobias M. Peterka,1,1,6,2,2,2,9
TP,TP,Tobias Pflüger,1,1,5,2,2,2,8
TS,TS,Thomas Sattelberger,1,1,4,2,1,2,9
TSO,TSO,Tino Sorge,1,1,1,1,2,2,15
UB,UB,Ulrike Bahr,1,2,2,1,1,2,9
UDSC,UDSC,Udo Schiefner,1,1,2,1,1,2,5
UG,UG,Ulrich Grötsch,1,1,2,1,1,2,7
UJ,UJ,Ulla Jelpke,1,2,5,2,2,2,5
UL,UL,Ulrich Lechte,1,1,4,2,1,2,9
ULIH,ULIH,Ulla Ihnen,1,2,4,2,1,2,3
ULLA,ULLA,Ulrich Lange,1,1,1,1,2,2,9
ULS,ULS,Ulle Schauws,1,1,3,2,1,2,5
UN,UN,Ulli Nissen,1,2,2,1,1,2,6
US,US,Ulla Schmidt,1,2,2,1,1,2,5
UTH,UTH,Udo Theodor Hemmelgarn,1,1,6,2,2,2,5
UTVO,UTVO,Ute Vogt,1,2,2,1,1,2,8
UW,UW,Uwe Witt,1,1,6,2,2,2,5
UWKE,UWKE,Uwe Kekeritz,1,1,3,2,1,2,9
VM,VM,Volker Münz,1,1,6,2,2,2,8
VOVO,VOVO,Volkmar Vogel,1,1,1,1,2,2,16
VU,VU,Volker Ullrich,1,1,1,1,2,2,9
WIES,WIES,Wiebke Esdar,1,2,2,1,1,2,5
WIGO,WIGO,Wilhelm von Gottberg,1,1,6,2,2,2,3
WK,WK,Wolfgang Kubicki,1,1,4,2,1,2,1
WOST,WOST,Wolfgang Stefinger,1,1,1,1,2,2,9
WOWI,WOWI,Wolfgang Wiehle,1,1,6,2,2,2,9
WS,WS,Wolfang Schäuble,1,1,1,1,2,1,8
WSB,WSB,Wieland Schinnenburg,1,1,4,2,1,2,2
WSK,WSK,Wolfgang Strengmann-Kuhn,1,1,3,2,1,2,6
YF,YF,Yasmin Fahimi,1,2,2,1,1,2,3
YVMA,YVMA,Yvonne Magwas,1,2,1,1,2,2,14
ZN,ZN,Zaklin Nastic,1,2,5,2,2,2,1